"Categoria","Palabra","web",
Accesorios de vestimenta,Chaquira [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chaquira,
Accesorios de vestimenta,chuspas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chuspas,
Accesorios de vestimenta,Cumbe [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cumbe,
Accesorios de vestimenta,guaraca/guaracas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#guaraca/guaracas,
Accesorios de vestimenta,lliquilla [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#lliquilla,
Accesorios de vestimenta,mamachumbi [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#mamachumbi,
Accesorios de vestimenta,ñañaca [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#ñañaca,
Accesorios de vestimenta,pacos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#pacos,
Accesorios de vestimenta,topo/topos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#topo/topos,
Accesorios de vestimenta,vincha [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#vincha,
Accidente geográfico,Anca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#anca,
Accidente geográfico,Ancas Pata [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ancas pata,
Accidente geográfico,Andazana [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#andazana,
Accidente geográfico,Andes [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#andes,
Accidente geográfico,Apocomuyllo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#apocomuyllo,
Accidente geográfico,Apoguante [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#apoguante,
Accidente geográfico,Apoparato [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#apoparato,
Accidente geográfico,Ayas pampa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ayas pampa,
Accidente geográfico,bamba/pampa [Niculoso de Fornee] ,https://glosascroniquenses.github.io/Glosario/autores/cronista28/#anta,
Accidente geográfico,Barasuibira [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#barasuibira,
Accidente geográfico,Biccinca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#biccinca,
Accidente geográfico,Bilcas [Pedro Sancho] ,https://glosascroniquenses.github.io/Glosario/autores/cronista28/#bamba/pampa,
Accidente geográfico,Callacalla [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#callacalla,
Accidente geográfico,Capatone [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#capatone,
Accidente geográfico,çaraçara [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#çaraçara,
Accidente geográfico,Caroamcho [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#caroamcho,
Accidente geográfico,cavana' [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#cavana',
Accidente geográfico,Cayto [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cayto,
Accidente geográfico,Cayto guanacauri [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cayto guanacauri,
Accidente geográfico,Chaunicac llanguiama [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chaunicac llanguiama,
Accidente geográfico,Checa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#checa,
Accidente geográfico,Chicalla [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#chicalla,
Accidente geográfico,Chicalla [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#chicalla,
Accidente geográfico,Chicalla' [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#chicalla',
Accidente geográfico,Chinchaycocha [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chinchaycocha,
Accidente geográfico,Chipao' [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#chipao',
